receiverAddress,Username,Degen
0xab3627317c43d394eb171170f818153b976d28a3,ilannnnnnnnkatin,507.97
0x5a7a4bde5ec6064a66504321af27a82b093f6438,xose,58.14
0xd4b9a909ba1947860b37b153f54808bb5d5d34db,eirrann.eth,62.47
0x16e98e94b9330dd6fedaac175e84a3f25f6f6ae7,karmillashelly,45.57
0xebdb4f871fff3add1afee782077b9359a8ce8060,jacy,315.55
0x624260517cd02339cc41525f05fb7520ab11fc2a,arrasartistic,92.41
0xb57381c7ed83bb9031a786d2c691cc6c7c2207a4,goldie,350.16
0xdf55b2fd75633474ce201816bf68fc5f239c96c0,alwayssunny112,92.19
0xd7029bdea1c17493893aafe29aad69ef892b8ff2,dwr.eth,1184.12
0xcb4328df3a5a6522bf41fd4ab1e720cffc2a1f76,katekornish,121.92
0xf5208d0e44e1b84a4f310aeb3a9f41c6d001dafd,farzanzare.eth,116.76
0x10676738db9601c5af144a17c3a48c8ebda7e353,jrf,50.78
0x5bfeb4ca066c9458842ac89b6e5cd983bd1a1034,symbiotech.eth,126.36
0xfaca3ff0b46746e98a4129827927617b0fe2f0ef,carlos28355,51.82
0x8306e283be030407c9efe26ea9aaed22573e03c0,artmediamixx,35.14
0xa8ab4bf498573a67653760ff0137d646d1c21223,sinarahmati7,900.51
0x187c84bb413d2bbcbc152505bd831e5b57a20232,nanzy,81.68
0x3164623c29c8d60c7d84b7c3544c596c02167e72,maheenblues,16.84
0x4b7b07d8baf51975eeab0e1eb4b481a5ac691ed6,nikolaiii,101.66
0x4bf907a4c97c239061ebb642ae9c305373ae4791,fotograaghanneke,3.35
0x83d6ad420b89589cb7d7d95148d87eb29a03e80e,alistarphoto,526.31
0xf56e55e35d2cca5a34f5ba568454974424aea0f4,music-guy.eth,70.31
0x5dc8bbcb1ddb0dec2274707546761b22fdbbf93d,amaliee.eth,121.44
0x59c6104e9b280a4b5d50103d300cdabb8640c3a9,0ffline,211.36
0x497db07bb04e11900c310d8d158680573efdd371,yamari,117.35
0xebfe1ab93d1122e065adcafd8c3174261e8e726f,senemsad,3.36
0x9df4cd4a6ac5893da5ac71214683162c2c7feeef,erdemkuybulu,51.82
0xf417ace7b13c0ef4fcb5548390a450a4b75d3eb3,woj.eth,60.33
0x61b41947d9105c174dad4548537c58a2cef6c8fa,dexwhale,1085.37
0xb7e79771e07486692720dc078b74e3035cc4f1cc,mozzigom,137.22
0x199c65f320b7ea641a55161e3489a1f6851dab04,amanrasouli,68.54
0x96a6e33c4783d240ceafcd75fe7a7d8c8be88e2c,mehrad,360.05
0xee2f0b52bd3bcbced0a3f1a9d91c1f54c1f5d036,dosir,137.97
0x3f643c8262056f1c68c58d9c6780297c1f7e546f,t0ma,3.35
0xd7b77b0a69308392ef13db63a412df391146d434,vortac,145.57
0xa86f00102c89e2cb3283d6ca6f900aeca5aecfdc,artbysalman,1846.23
0x04172be8d081c893d6285213155ff6522a8e6b91,sr1,85.94
0x231fdcac73f9fed1ac2d12af5f7cea39456019d6,kush,3.35
0x316822580ee3725209fd96b1208ef53b73825e56,wanderloots.eth,196.34
0x0ce98350b9dea81fe0b47dbc4787a1e9f8f1d7ff,priyanka,113.41
0x2ff9b1713f0ff384f5bdd676e0d7d68d243d92e5,visheh,14.87
0x5916df642cf4fa470ba04d54c804c7fa788f41c4,kristinathiele,156.03
0xa7d90dab198886529c97afdb77007a0eb28a185a,dollykabaria,87.30
0xfee22e2ce7808ba88e5dbee52388e6f4a2eb0f42,popszi,353.53
0x1bae19af613bd5db94baf043d5817e16a53a4c33,pramadan.eth,16.75
0x84ea8215947e5484ee59818b789de9b4555bcfae,singhvi,52.91
0x46d6dc8c06f7da28cfc2cb933c048145f93cda7a,whoisabuzar,70.06
0x64bf8d9a93a5642ca93d98b5db88b2cc953c8426,mortespiral.eth,60.68
0x45c482f3ebfbfc08dac537217db4b1332d66582b,bystani,23.59
0xb63c8f6f2d1bd1ec17a063c422b4282d871704e8,iamkeegan,248.44
0x8138f25429504a6b1a9d6bbf6a6d3bca9d5dba4c,aydinmustafa,13.70
0x1257400e85b69c4efc4de33170ca11bec259bc7e,itsnaastaaraan,82.62
0x8e19969e14cb17bc4fe528073cb3b1683cd74740,eggcooker,800.64
0xd1642fcc093202f30e64d28eb8de8d0714958f8f,sgniwder,209.75
0x88cdae65a1f22d6576dfb658fc4caa8e92e29fcb,selenine,85.30
0x349dcd1dfa694f7b2d27ec411f6a4d8ef891d86b,msanga,1158.21
0x80d47d88300b82e7ba1d8899a926f6b0f7e4d832,teledildofonics,437.96
0xd4cc9f6a37588e913d4919928bd303f6cd7ac77c,thecurioushermit,70.31
0xc746b0f5a2dc527bc018a1996a00704ee84adab3,ideas,158.25
0x21dd27d022af7dbd6fcfbf0cb94dfdf6ace7aa86,elnaz555,84.55
0x8186505fabdbe4765b14ba463aaaf6e46ea163ae,ezekielart,339.21
0x648fcc555a9c9c64c39c7b3c2354b5458ce5d332,slvku,194.27
0x720d505cb1d1b78178199dcd7c0f075c42163859,reisky,1259.67
0x91bf3c7bf154b49aa4858ae0d17e39a6d9ec72d6,kriptokotya,51.18
0x9e6dd7155426fb60dfe14e4e20f6d2d48da92f8e,bradleymoonnft,70.39
0x508dd44ff3404e618d430d4562c3773b073a5ccc,kylepatrick.eth,563.41
0x158cbe24e0c054c5d06c5984763177ccd27839a8,degen-chad,3.35
0x8bf0091f5166b5c0bdeeb7d769a8c8aa85176b9a,civort,62.48
0x8baacd1f02c09c2b0a5577a4e641d5da44480bab,feelsxart,10.05
0x79479e4fc351f23df380bd3f686416f6592a74b0,dijaraj,124.41
0x650e699bd6698fd1acf99410852ce9c3b77c65b9,noface-art,644.36
0xb85d31b6f1f44c0d113bdca6b550e773b24d345d,abdsyl,16.84
0xa537bfe81c2f91d4fd00520e1179ce6cab38921a,majidjeelani,122.74
0x000cbf0bec88214aab15bc1fa40d3c30b3ca97a9,ds8,0.00
0x1bec0e6266e97f0c7c42aa720959e46598dd8ce1,ashwini,114.13
0x7dccc79361b0227a85c2ff788ca240d31f2a78d0,inceptionally,334.85
0xdc0753f6b3cc6034317b73c10413c19958d36ed1,kayvon,3.35
0x9fb5b74d61be3524afc21c0d6c18bcd8ef6c05f6,nikfarjam,75.51
0xe450637a5b515d5bb09d2b75cb4ca89700cc410c,debbie,231.12
0x43d9a5cb3c0299e3de882e10036ee9de0497f234,mattrenggana,35.14
0x391102852da9bf9c7644dce39864f3edb2f9a162,darkknightutk,7.43
0x8c8bfa1b4ba3b71838f2386aaeba8c5753963903,camilleroux,123.08
0xa3cdd8dc1d0973db547e427e6ef5e82efaa5b63c,yonfrula,269.70
0x2f748e080a4e8300986a5efa0536d5bfa55f52c1,rahele,72.05
